City_Id,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
267,Port Keats,46,AU,1560103259,69,-14.25,129.55,76.48,2.64
268,Port Hardy,90,CA,1560103259,81,50.7,-127.42,53.6,6.93
269,Aktanysh,0,RU,1560103259,81,55.72,54.06,62.98,8.39
270,Puerto Escondido,75,MX,1560103260,66,15.86,-97.07,87.8,6.93
271,Krasnotorka,15,UA,1560103260,61,48.68,37.52,72.7,5.99
272,Mombetsu,99,JP,1560103260,83,44.35,143.35,51.01,5.99
273,Moba,31,CD,1560103260,68,-7.04,29.77,61.36,2.64
274,Thompson,75,CA,1560103260,47,55.74,-97.86,55.4,12.75
275,Victoria,75,BN,1560103040,94,5.28,115.24,78.8,2.24
276,Santa Rosa,17,AR,1560103144,32,-36.62,-64.29,67.84,4.85
277,Angoche,13,MZ,1560103263,80,-16.23,39.91,73.06,7.36
278,Anadyr,0,RU,1560103263,50,64.73,177.51,55.4,11.18
279,Iracoubo,92,GF,1560103263,88,5.48,-53.21,80.62,8.7
280,Palmer,75,AU,1560103077,82,-34.85,139.16,60.01,24.16
281,Rio Rancho,20,US,1560103122,15,35.27,-106.63,88.0,10.29
282,Codrington,90,AU,1560103264,100,-28.95,153.24,54.0,3.29
283,Erenhot,70,CN,1560103265,41,43.65,111.97,68.2,6.42
284,Dzhebariki-Khaya,0,RU,1560103265,56,62.22,135.8,49.84,4.54
285,Nampula,20,MZ,1560103266,83,-15.12,39.26,71.6,9.17
286,Kuytun,12,RU,1560103266,58,54.34,101.51,60.64,6.46
287,San Felipe,14,CL,1560103228,24,-32.75,-70.73,75.99,5.3
288,Berberati,51,CF,1560103266,78,4.26,15.79,74.86,3.11
289,Rio Grande,0,BR,1560103267,64,-32.03,-52.1,69.8,9.17
290,Mitsamiouli,20,KM,1560103267,69,-11.38,43.28,78.8,12.75
291,Abu Dhabi,5,AE,1560103146,55,24.47,54.37,93.2,1.12
292,Malanje,0,AO,1560103267,31,-9.54,16.35,70.9,3.42
293,Voskresenskoye,70,RU,1560103267,90,56.84,45.43,66.22,6.62
294,Grand Gaube,75,MU,1560103267,78,-20.01,57.66,75.2,6.93
295,Alta Gracia,0,AR,1560103268,35,-31.66,-64.43,75.0,24.16
296,Merauke,58,ID,1560103268,82,-8.49,140.4,81.7,24.4
297,Luderitz,0,NA,1560103268,82,-26.65,15.16,62.6,13.87
298,Waipawa,100,NZ,1560103268,83,-39.94,176.59,51.01,7.0
299,College,1,US,1560103268,67,64.86,-147.8,64.99,2.82
300,Isiro,92,CD,1560103316,96,2.77,27.62,68.2,1.41
301,Nizwa,38,OM,1560103317,10,22.93,57.53,95.56,0.58
302,Aqtobe,0,KZ,1560103079,34,50.28,57.21,66.2,4.47
303,Port Lincoln,55,AU,1560103317,66,-34.72,135.86,61.36,32.37
304,Yar-Sale,99,RU,1560103317,92,66.83,70.83,40.66,15.41
305,Samoded,48,RU,1560103317,57,63.61,40.52,75.22,6.53
306,Bend,1,US,1560103270,16,44.06,-121.32,72.0,11.41
307,Saldanha,32,PT,1560103317,47,41.42,-6.55,66.04,13.76
308,Ust-Barguzin,1,RU,1560103317,70,53.41,109.03,47.32,2.62
309,San Rafael del Sur,40,NI,1560103318,62,11.85,-86.44,89.6,11.41
310,Stepnyak,99,KZ,1560103318,94,52.83,70.79,51.82,5.86
311,Sambava,70,MG,1560103318,88,-14.27,50.17,68.92,4.99
312,Samarai,100,PG,1560103318,93,-10.62,150.67,73.42,5.3
313,Xifeng,71,CN,1560103318,90,42.73,124.72,57.04,2.73
314,Sitka,100,US,1560103318,80,37.17,-99.65,59.0,15.99
315,Matara,0,PE,1560103319,38,-13.74,-72.9,59.0,8.34
316,Kholtoson,100,RU,1560103319,79,50.3,103.31,53.08,2.3
317,Bure,78,NG,1560103319,42,10.52,10.33,86.92,3.38
318,Moree,0,AU,1560103319,93,-29.46,149.84,48.2,6.93
319,Alberton,0,ZA,1560103319,33,-26.25,28.13,57.99,4.9
320,Lodja,47,CD,1560103320,47,-3.52,23.6,75.22,1.7
321,Campbell River,90,CA,1560103320,67,50.02,-125.24,60.8,5.82
322,Port Hedland,0,AU,1560103320,82,-20.31,118.58,57.2,6.93
323,Mnogovershinnyy,0,RU,1560103320,90,53.94,139.92,36.34,4.47
324,Beloye,0,RU,1560103320,57,45.05,39.65,82.99,8.95
325,Toora-Khem,100,RU,1560103320,79,52.47,96.11,52.0,5.21
326,Kununurra,22,AU,1560103321,87,-15.77,128.74,60.8,4.09
327,Villarrica,75,CL,1560103321,82,-39.28,-72.23,55.4,14.99
328,Hamilton,75,CA,1560103163,60,43.26,-79.87,82.0,9.17
329,Ismailia,1,EG,1560103138,41,30.6,32.27,85.3,10.29
330,Adre,22,TD,1560103321,31,13.47,22.2,89.62,7.2
331,Laguna,5,MX,1560103321,48,27.52,-110.01,86.0,5.82
332,Hofn,75,IS,1560103322,70,64.25,-15.21,46.4,5.82
333,Rock Sound,100,BS,1560103322,82,24.9,-76.2,81.88,8.7
334,Chumphon,100,TH,1560103322,92,10.5,99.18,77.2,4.94
335,San Cristobal,75,EC,1560103322,40,-0.39,-78.55,71.6,2.24
336,Basco,20,US,1560103323,69,40.33,-91.2,84.99,8.05
337,Dehloran,12,IR,1560103323,13,32.69,47.27,93.94,5.14
